Wurfl_Id,wurfl_device_id,wurfl_fall_back,brand_name,model_name,marketing_name,SubMethod_Displayed,SubMethod_SubscribedTo,SubMethod,Visits,Visits_ToOperatorSelection,Visits_ToOperatorSelectionOnly,Submission_OperatorSelection,Visits_ToLandingPage,Submissions,Subscribers,device_os,device_os_version,release_date,mobile_browser
1217,nokia_n93i_ver1_sub110009,nokia_n93i_ver1,Nokia,N93i,,3,3,CLICKTAG,1,0,0,0,1,1,1,Symbian OS,9.1,2006_april,Nokia
1221,nokia_n95_ver1_sub_mozilla_b,nokia_n95_ver1,Nokia,N95,,NULL,NULL,NULL,5,0,0,0,5,0,0,Symbian OS,9.2,2006_september,Safari
1221,nokia_n95_ver1_sub_mozilla_b,nokia_n95_ver1,Nokia,N95,,3,NULL,CLICKTAG,2,0,0,0,2,0,0,Symbian OS,9.2,2006_september,Safari
1221,nokia_n95_ver1_sub_mozilla_b,nokia_n95_ver1,Nokia,N95,,3,3,CLICKTAG,2,0,0,0,2,2,2,Symbian OS,9.2,2006_september,Safari
1222,nokia_n95_ver1_sub_mozilla_c,nokia_n95_ver1,Nokia,N95,,NULL,NULL,NULL,20,0,0,0,20,0,0,Symbian OS,9.2,2006_september,Safari
1222,nokia_n95_ver1_sub_mozilla_c,nokia_n95_ver1,Nokia,N95,,3,3,CLICKTAG,5,0,0,0,5,5,5,Symbian OS,9.2,2006_september,Safari
1222,nokia_n95_ver1_sub_mozilla_c,nokia_n95_ver1,Nokia,N95,,3,NULL,CLICKTAG,27,0,0,0,27,0,0,Symbian OS,9.2,2006_september,Safari
1701,samsung_sgh_e370_ver1,opwv_v62_generic,Samsung,SGH-E370,,3,NULL,CLICKTAG,1,0,0,0,1,0,0,,,2003_january,Openwave Mobile Browser
3092,mot_k1_ver1_sub08024ei,mot_k1_ver1,Motorola,K1,,NULL,NULL,NULL,2,0,0,0,2,0,0,,,2007_january,Motorola Internet Browser
3789,sonyericsson_k506c_ver1_subr2aa,sonyericsson_k506c_ver1,SonyEricsson,K506c,,NULL,NULL,NULL,1,0,0,0,1,0,0,,,2002_january,Semc
4155,sonyericsson_w850i_ver1_subr1da,sonyericsson_w850i_ver1,SonyEricsson,W850i,,3,NULL,CLICKTAG,1,0,0,0,1,0,0,,,2005_july,Access Netfront
5361,apple_iphone_ver1,apple_generic,Apple,iPhone,,3,NULL,CLICKTAG,1,0,0,0,1,0,0,iPhone OS,1,2007_june,Safari
5361,apple_iphone_ver1,apple_generic,Apple,iPhone,,NULL,NULL,NULL,1,0,0,0,1,0,0,iPhone OS,1,2007_june,Safari
5361,apple_iphone_ver1,apple_generic,Apple,iPhone,,11,NULL,WAPPIN,14,0,0,0,14,0,0,iPhone OS,1,2007_june,Safari
5362,apple_iphone_ver1_suba543,apple_iphone_ver1,Apple,iPhone,,11,NULL,WAPPIN,1,0,0,0,1,0,0,iPhone OS,1,2007_june,Safari
5727,sony_psp_ver1,generic_xhtml,Sony,PlayStation Portable,PSP,NULL,NULL,NULL,26,0,0,0,26,0,0,,,2002_july,Access Netfront
5727,sony_psp_ver1,generic_xhtml,Sony,PlayStation Portable,PSP,3,NULL,CLICKTAG,15,0,0,0,15,0,0,,,2002_july,Access Netfront
6482,opera_nokia_7610_ver1_sub451de,opera_nokia_7610_ver1,Nokia,7610,,NULL,NULL,NULL,1,0,0,0,1,0,0,Symbian OS,7.0s,2004_march,Opera
6482,opera_nokia_7610_ver1_sub451de,opera_nokia_7610_ver1,Nokia,7610,,3,NULL,CLICKTAG,1,0,0,0,1,0,0,Symbian OS,7.0s,2004_march,Opera
6534,ibrowser_ver1,generic_mobile,generic web browser,,,11,NULL,WAPPIN,1,0,0,0,1,0,0,,,2002_january,
7017,nokia_2760_ver1_sub1,nokia_2760_ver1,Nokia,2760,,3,NULL,CLICKTAG,2,0,0,0,2,0,0,,,2007_may,Nokia
7020,nokia_3109c_ver1_sub0530,nokia_3109c_ver1,Nokia,3109 classic,classic,3,NULL,CLICKTAG,2,0,0,0,2,0,0,,,2007_may,Nokia
7145,sonyericsson_w800i_sub_r1aa,sonyericsson_w800i,SonyEricsson,W800i,,3,NULL,CLICKTAG,2,0,0,0,2,0,0,,,2002_january,
7146,nokia_3110c_ver1_sub0550,nokia_3110c_ver1,Nokia,3110 classic,classic,9,NULL,JAVA_APP,2,0,0,0,2,0,0,,,2007_february,Nokia
7175,nokia_6020_ver1_sub490,nokia_6020_ver1,Nokia,6020,,9,NULL,JAVA_APP,1,0,0,0,1,0,0,,,2004_november,Nokia
7178,sonyericsson_k550i_ver1_subr1jd,sonyericsson_k550i_ver1,SonyEricsson,K550i,,3,3,CLICKTAG,1,0,0,0,1,1,1,,,2005_july,Access Netfront
7180,nokia_n95_ver1_sub_mozilla_d,nokia_n95_8gb_ver1,Nokia,N95 8GB,,3,NULL,CLICKTAG,6,0,0,0,6,0,0,Symbian OS,9.2,2007_august,Safari
7180,nokia_n95_ver1_sub_mozilla_d,nokia_n95_8gb_ver1,Nokia,N95 8GB,,NULL,NULL,NULL,48,0,0,0,48,0,0,Symbian OS,9.2,2007_august,Safari
7196,nokia_6233_ver1_sub0510,nokia_6233_ver1,Nokia,6233,,9,NULL,JAVA_APP,10,0,0,0,10,0,0,,,2005_december,Nokia
7196,nokia_6233_ver1_sub0510,nokia_6233_ver1,Nokia,6233,,NULL,NULL,NULL,4,0,0,0,4,0,0,,,2005_december,Nokia
7198,nokia_n73_ver1_sub40727221,nokia_n73_ver1,Nokia,N73,,9,NULL,JAVA_APP,8,0,0,0,8,0,0,Symbian OS,9.1,2005_november,Nokia
